id,value,cat
194,97.0,a
195,97.5,b
196,98.0,a
197,98.5,b
198,99.0,a
199,99.5,b
200,100.0,a
201,100.5,b
202,101.0,a
203,101.5,b
204,102.0,a
205,102.5,b
206,103.0,a
207,103.5,b
208,104.0,a
209,104.5,b
210,105.0,a
211,105.5,b
212,106.0,a
213,106.5,b
214,107.0,a
215,107.5,b
216,108.0,a
217,108.5,b
218,109.0,a
219,109.5,b
220,110.0,a
221,110.5,b
222,111.0,a
223,111.5,b
224,112.0,a
225,112.5,b
226,113.0,a
227,113.5,b
228,114.0,a
229,114.5,b
230,115.0,a
231,115.5,b
232,116.0,a
233,116.5,b
234,117.0,a
235,117.5,b
236,118.0,a
237,118.5,b
238,119.0,a
239,119.5,b
240,120.0,a
241,120.5,b
242,121.0,a
243,121.5,b
244,122.0,a
245,122.5,b
246,123.0,a
247,123.5,b
248,124.0,a
249,124.5,b
250,125.0,a
251,125.5,b
252,126.0,a
253,126.5,b
254,127.0,a
255,127.5,b
256,128.0,a
257,128.5,b
258,129.0,a
259,129.5,b
260,130.0,a
261,130.5,b
262,131.0,a
263,131.5,b
264,132.0,a
265,132.5,b
266,133.0,a
267,133.5,b
268,134.0,a
269,134.5,b
270,135.0,a
271,135.5,b
272,136.0,a
273,136.5,b
274,137.0,a
275,137.5,b
276,138.0,a
277,138.5,b
278,139.0,a
279,139.5,b
280,140.0,a
281,140.5,b
282,141.0,a
283,141.5,b
284,142.0,a
285,142.5,b
286,143.0,a
287,143.5,b
288,144.0,a
289,144.5,b
290,145.0,a
291,145.5,b
292,146.0,a
293,146.5,b
294,147.0,a
295,147.5,b
296,148.0,a
297,148.5,b
298,149.0,a
299,149.5,b
300,150.0,a
301,150.5,b
302,151.0,a
303,151.5,b
304,152.0,a
305,152.5,b
306,153.0,a
307,153.5,b
308,154.0,a
309,154.5,b
310,155.0,a
311,155.5,b
312,156.0,a
313,156.5,b
314,157.0,a
315,157.5,b
316,158.0,a
317,158.5,b
318,159.0,a
319,159.5,b
320,160.0,a
321,160.5,b
322,161.0,a
323,161.5,b
324,162.0,a
325,162.5,b
326,163.0,a
327,163.5,b
328,164.0,a
329,164.5,b
330,165.0,a
331,165.5,b
332,166.0,a
333,166.5,b
334,167.0,a
335,167.5,b
336,168.0,a
337,168.5,b
338,169.0,a
339,169.5,b
340,170.0,a
341,170.5,b
342,171.0,a
343,171.5,b
344,172.0,a
345,172.5,b
346,173.0,a
347,173.5,b
348,174.0,a
349,174.5,b
350,175.0,a
351,175.5,b
352,176.0,a
353,176.5,b
354,177.0,a
355,177.5,b
356,178.0,a
357,178.5,b
358,179.0,a
359,179.5,b
360,180.0,a
361,180.5,b
362,181.0,a
363,181.5,b
364,182.0,a
365,182.5,b
366,183.0,a
367,183.5,b
368,184.0,a
369,184.5,b
370,185.0,a
371,185.5,b
372,186.0,a
373,186.5,b
374,187.0,a
375,187.5,b
376,188.0,a
377,188.5,b
378,189.0,a
379,189.5,b
380,190.0,a
381,190.5,b
382,191.0,a
383,191.5,b
384,192.0,a
385,192.5,b
386,193.0,a
387,193.5,b
388,194.0,a
389,194.5,b
390,195.0,a
391,195.5,b
392,196.0,a
393,196.5,b
394,197.0,a
395,197.5,b
396,198.0,a
397,198.5,b
398,199.0,a
399,199.5,b
400,200.0,a
401,200.5,b
402,201.0,a
403,201.5,b
404,202.0,a
405,202.5,b
406,203.0,a
407,203.5,b
408,204.0,a
409,204.5,b
410,205.0,a
411,205.5,b
412,206.0,a
413,206.5,b
414,207.0,a
415,207.5,b
416,208.0,a
417,208.5,b
418,209.0,a
419,209.5,b
420,210.0,a
421,210.5,b
422,211.0,a
423,211.5,b
424,212.0,a
425,212.5,b
426,213.0,a
427,213.5,b
428,214.0,a
429,214.5,b
430,215.0,a
431,215.5,b
432,216.0,a
433,216.5,b
434,217.0,a
435,217.5,b
436,218.0,a
437,218.5,b
438,219.0,a
439,219.5,b
440,220.0,a
441,220.5,b
442,221.0,a
443,221.5,b
444,222.0,a
445,222.5,b
446,223.0,a
447,223.5,b
448,224.0,a
449,224.5,b
450,225.0,a
451,225.5,b
452,226.0,a
453,226.5,b
454,227.0,a
455,227.5,b
456,228.0,a
457,228.5,b
458,229.0,a
459,229.5,b
460,230.0,a
461,230.5,b
462,231.0,a
463,231.5,b
464,232.0,a
465,232.5,b
466,233.0,a
467,233.5,b
468,234.0,a
469,234.5,b
470,235.0,a
471,235.5,b
472,236.0,a
473,236.5,b
474,237.0,a
475,237.5,b
476,238.0,a
477,238.5,b
478,239.0,a
479,239.5,b
480,240.0,a
481,240.5,b
482,241.0,a
483,241.5,b
484,242.0,a
485,242.5,b
486,243.0,a
487,243.5,b
488,244.0,a
489,244.5,b
490,245.0,a
491,245.5,b
492,246.0,a
493,246.5,b
494,247.0,a
495,247.5,b
496,248.0,a
497,248.5,b
498,249.0,a
499,249.5,b
500,250.0,a
501,250.5,b
502,251.0,a
503,251.5,b
504,252.0,a
505,252.5,b
506,253.0,a
507,253.5,b
508,254.0,a
509,254.5,b
510,255.0,a
511,255.5,b
512,256.0,a
513,256.5,b
514,257.0,a
515,257.5,b
516,258.0,a
517,258.5,b
518,259.0,a
519,259.5,b
520,260.0,a
521,260.5,b
522,261.0,a
523,261.5,b
524,262.0,a
525,262.5,b
526,263.0,a
527,263.5,b
528,264.0,a
529,264.5,b
530,265.0,a
531,265.5,b
532,266.0,a
533,266.5,b
534,267.0,a
535,267.5,b
536,268.0,a
537,268.5,b
538,269.0,a
539,269.5,b
540,270.0,a
541,270.5,b
542,271.0,a
543,271.5,b
544,272.0,a
545,272.5,b
546,273.0,a
547,273.5,b
548,274.0,a
549,274.5,b
550,275.0,a
551,275.5,b
552,276.0,a
553,276.5,b
554,277.0,a
555,277.5,b
556,278.0,a
557,278.5,b
558,279.0,a
559,279.5,b
560,280.0,a
561,280.5,b
562,281.0,a
563,281.5,b
564,282.0,a
565,282.5,b
566,283.0,a
567,283.5,b
568,284.0,a
569,284.5,b
570,285.0,a
571,285.5,b
572,286.0,a
573,286.5,b
574,287.0,a
575,287.5,b
576,288.0,a
577,288.5,b
578,289.0,a
579,289.5,b
580,290.0,a
581,290.5,b
582,291.0,a
583,291.5,b
584,292.0,a
585,292.5,b
586,293.0,a
587,293.5,b
588,294.0,a
589,294.5,b
590,295.0,a
591,295.5,b
592,296.0,a
593,296.5,b
594,297.0,a
595,297.5,b
596,298.0,a
597,298.5,b
598,299.0,a
599,299.5,b
600,300.0,a
601,300.5,b
602,301.0,a
603,301.5,b
604,302.0,a
605,302.5,b
606,303.0,a
607,303.5,b
608,304.0,a
609,304.5,b
610,305.0,a
611,305.5,b
612,306.0,a
613,306.5,b
614,307.0,a
615,307.5,b
616,308.0,a
617,308.5,b
618,309.0,a
619,309.5,b
620,310.0,a
621,310.5,b
622,311.0,a
623,311.5,b
624,312.0,a
625,312.5,b
626,313.0,a
627,313.5,b
628,314.0,a
629,314.5,b
630,315.0,a
631,315.5,b
632,316.0,a
633,316.5,b
634,317.0,a
635,317.5,b
636,318.0,a
637,318.5,b
638,319.0,a
639,319.5,b
640,320.0,a
641,320.5,b
642,321.0,a
643,321.5,b
644,322.0,a
645,322.5,b
646,323.0,a
647,323.5,b
648,324.0,a
649,324.5,b
650,325.0,a
651,325.5,b
652,326.0,a
653,326.5,b
654,327.0,a
655,327.5,b
656,328.0,a
657,328.5,b
658,329.0,a
659,329.5,b
660,330.0,a
661,330.5,b
662,331.0,a
663,331.5,b
664,332.0,a
665,332.5,b
666,333.0,a
667,333.5,b
668,334.0,a
669,334.5,b
670,335.0,a
671,335.5,b
672,336.0,a
673,336.5,b
674,337.0,a
675,337.5,b
676,338.0,a
677,338.5,b
678,339.0,a
679,339.5,b
680,340.0,a
681,340.5,b
682,341.0,a
683,341.5,b
684,342.0,a
685,342.5,b
686,343.0,a
687,343.5,b
688,344.0,a
689,344.5,b
690,345.0,a
691,345.5,b
692,346.0,a
693,346.5,b
694,347.0,a
695,347.5,b
696,348.0,a
697,348.5,b
698,349.0,a
699,349.5,b
700,350.0,a
701,350.5,b
702,351.0,a
703,351.5,b
704,352.0,a
705,352.5,b
706,353.0,a
707,353.5,b
708,354.0,a
709,354.5,b
710,355.0,a
711,355.5,b
712,356.0,a
713,356.5,b
714,357.0,a
715,357.5,b
716,358.0,a
717,358.5,b
718,359.0,a
719,359.5,b
720,360.0,a
721,360.5,b
722,361.0,a
723,361.5,b
724,362.0,a
725,362.5,b
726,363.0,a
727,363.5,b
728,364.0,a
729,364.5,b
730,365.0,a
731,365.5,b
732,366.0,a
733,366.5,b
734,367.0,a
735,367.5,b
736,368.0,a
737,368.5,b
738,369.0,a
739,369.5,b
740,370.0,a
741,370.5,b
742,371.0,a
743,371.5,b
744,372.0,a
745,372.5,b
746,373.0,a
747,373.5,b
748,374.0,a
749,374.5,b
750,375.0,a
751,375.5,b
752,376.0,a
753,376.5,b
754,377.0,a
755,377.5,b
756,378.0,a
757,378.5,b
758,379.0,a
759,379.5,b
760,380.0,a
761,380.5,b
762,381.0,a
763,381.5,b
764,382.0,a
765,382.5,b
766,383.0,a
767,383.5,b
768,384.0,a
769,384.5,b
770,385.0,a
771,385.5,b
772,386.0,a
773,386.5,b
774,387.0,a
775,387.5,b
776,388.0,a
777,388.5,b
778,389.0,a
779,389.5,b
780,390.0,a
781,390.5,b
782,391.0,a
783,391.5,b
784,392.0,a
785,392.5,b
786,393.0,a
787,393.5,b
788,394.0,a
789,394.5,b
790,395.0,a
791,395.5,b
792,396.0,a
793,396.5,b
794,397.0,a
795,397.5,b
796,398.0,a
797,398.5,b
798,399.0,a
799,399.5,b
800,400.0,a
801,400.5,b
802,401.0,a
803,401.5,b
804,402.0,a
805,402.5,b
806,403.0,a
807,403.5,b
808,404.0,a
809,404.5,b
810,405.0,a
811,405.5,b
812,406.0,a
813,406.5,b
814,407.0,a
815,407.5,b
816,408.0,a
817,408.5,b
818,409.0,a
819,409.5,b
820,410.0,a
821,410.5,b
822,411.0,a
823,411.5,b
824,412.0,a
825,412.5,b
826,413.0,a
827,413.5,b
828,414.0,a
829,414.5,b
830,415.0,a
831,415.5,b
832,416.0,a
833,416.5,b
834,417.0,a
835,417.5,b
836,418.0,a
837,418.5,b
838,419.0,a
839,419.5,b
840,420.0,a
841,420.5,b
842,421.0,a
843,421.5,b
844,422.0,a
845,422.5,b
846,423.0,a
847,423.5,b
848,424.0,a
849,424.5,b
850,425.0,a
851,425.5,b
852,426.0,a
853,426.5,b
854,427.0,a
855,427.5,b
856,428.0,a
857,428.5,b
858,429.0,a
859,429.5,b
860,430.0,a
861,430.5,b
862,431.0,a
863,431.5,b
864,432.0,a
865,432.5,b
866,433.0,a
867,433.5,b
868,434.0,a
869,434.5,b
870,435.0,a
871,435.5,b
872,436.0,a
873,436.5,b
874,437.0,a
875,437.5,b
876,438.0,a
877,438.5,b
878,439.0,a
879,439.5,b
880,440.0,a
881,440.5,b
882,441.0,a
883,441.5,b
884,442.0,a
885,442.5,b
886,443.0,a
887,443.5,b
888,444.0,a
889,444.5,b
890,445.0,a
891,445.5,b
892,446.0,a
893,446.5,b
894,447.0,a
895,447.5,b
896,448.0,a
897,448.5,b
898,449.0,a
899,449.5,b
900,450.0,a
901,450.5,b
902,451.0,a
903,451.5,b
904,452.0,a
905,452.5,b
906,453.0,a
907,453.5,b
908,454.0,a
909,454.5,b
910,455.0,a
911,455.5,b
912,456.0,a
913,456.5,b
914,457.0,a
915,457.5,b
916,458.0,a
917,458.5,b
918,459.0,a
919,459.5,b
920,460.0,a
921,460.5,b
922,461.0,a
923,461.5,b
924,462.0,a
925,462.5,b
926,463.0,a
927,463.5,b
928,464.0,a
929,464.5,b
930,465.0,a
931,465.5,b
932,466.0,a
933,466.5,b
934,467.0,a
935,467.5,b
936,468.0,a
937,468.5,b
938,469.0,a
939,469.5,b
940,470.0,a
941,470.5,b
942,471.0,a
943,471.5,b
944,472.0,a
945,472.5,b
946,473.0,a
947,473.5,b
948,474.0,a
949,474.5,b
950,475.0,a
951,475.5,b
952,476.0,a
953,476.5,b
954,477.0,a
955,477.5,b
956,478.0,a
957,478.5,b
958,479.0,a
959,479.5,b
960,480.0,a
961,480.5,b
962,481.0,a
963,481.5,b
964,482.0,a
965,482.5,b
966,483.0,a
967,483.5,b
968,484.0,a
969,484.5,b
970,485.0,a
971,485.5,b
972,486.0,a
973,486.5,b
974,487.0,a
975,487.5,b
976,488.0,a
977,488.5,b
978,489.0,a
979,489.5,b
980,490.0,a
981,490.5,b
982,491.0,a
983,491.5,b
984,492.0,a
985,492.5,b
986,493.0,a
987,493.5,b
988,494.0,a
989,494.5,b
990,495.0,a
991,495.5,b
992,496.0,a
993,496.5,b
994,497.0,a
995,497.5,b
996,498.0,a
997,498.5,b
998,499.0,a
999,499.5,b
1000,500.0,a
1001,500.5,b
1002,501.0,a
1003,501.5,b
1004,502.0,a
1005,502.5,b
1006,503.0,a
1007,503.5,b
1008,504.0,a
1009,504.5,b
1010,505.0,a
1011,505.5,b
1012,506.0,a
1013,506.5,b
1014,507.0,a
1015,507.5,b
1016,508.0,a
1017,508.5,b
1018,509.0,a
1019,509.5,b
1020,510.0,a
1021,510.5,b
1022,511.0,a
1023,511.5,b
1024,512.0,a
1025,512.5,b
1026,513.0,a
1027,513.5,b
1028,514.0,a
1029,514.5,b
1030,515.0,a
1031,515.5,b
1032,516.0,a
1033,516.5,b
1034,517.0,a
1035,517.5,b
1036,518.0,a
1037,518.5,b
1038,519.0,a
1039,519.5,b
1040,520.0,a
1041,520.5,b
1042,521.0,a
1043,521.5,b
1044,522.0,a
1045,522.5,b
1046,523.0,a
1047,523.5,b
1048,524.0,a
1049,524.5,b
1050,525.0,a
1051,525.5,b
1052,526.0,a
1053,526.5,b
1054,527.0,a
1055,527.5,b
1056,528.0,a
1057,528.5,b
1058,529.0,a
1059,529.5,b
1060,530.0,a
1061,530.5,b
1062,531.0,a
1063,531.5,b
1064,532.0,a
1065,532.5,b
1066,533.0,a
1067,533.5,b
1068,534.0,a
1069,534.5,b
1070,535.0,a
1071,535.5,b
1072,536.0,a
1073,536.5,b
1074,537.0,a
1075,537.5,b
1076,538.0,a
1077,538.5,b
1078,539.0,a
1079,539.5,b
1080,540.0,a
1081,540.5,b
1082,541.0,a
1083,541.5,b
1084,542.0,a
1085,542.5,b
1086,543.0,a
1087,543.5,b
1088,544.0,a
1089,544.5,b
1090,545.0,a
1091,545.5,b
1092,546.0,a
1093,546.5,b
1094,547.0,a
1095,547.5,b
1096,548.0,a
1097,548.5,b
1098,549.0,a
1099,549.5,b
1100,550.0,a
1101,550.5,b
1102,551.0,a
1103,551.5,b
1104,552.0,a
1105,552.5,b
1106,553.0,a
1107,553.5,b
1108,554.0,a
1109,554.5,b
1110,555.0,a
1111,555.5,b
1112,556.0,a
1113,556.5,b
1114,557.0,a
1115,557.5,b
1116,558.0,a
1117,558.5,b
1118,559.0,a
1119,559.5,b
1120,560.0,a
1121,560.5,b
1122,561.0,a
1123,561.5,b
1124,562.0,a
1125,562.5,b
1126,563.0,a
1127,563.5,b
1128,564.0,a
1129,564.5,b
1130,565.0,a
1131,565.5,b
1132,566.0,a
1133,566.5,b
1134,567.0,a
1135,567.5,b
1136,568.0,a
1137,568.5,b
1138,569.0,a
1139,569.5,b
1140,570.0,a
1141,570.5,b
1142,571.0,a
1143,571.5,b
1144,572.0,a
1145,572.5,b
1146,573.0,a
1147,573.5,b
1148,574.0,a
1149,574.5,b
1150,575.0,a
1151,575.5,b
1152,576.0,a
1153,576.5,b
1154,577.0,a
1155,577.5,b
1156,578.0,a
1157,578.5,b
1158,579.0,a
1159,579.5,b
1160,580.0,a
1161,580.5,b
1162,581.0,a
1163,581.5,b
1164,582.0,a
1165,582.5,b
1166,583.0,a
1167,583.5,b
1168,584.0,a
1169,584.5,b
1170,585.0,a
1171,585.5,b
1172,586.0,a
1173,586.5,b
1174,587.0,a
1175,587.5,b
1176,588.0,a
1177,588.5,b
1178,589.0,a
1179,589.5,b
1180,590.0,a
1181,590.5,b
1182,591.0,a
1183,591.5,b
1184,592.0,a
1185,592.5,b
1186,593.0,a
1187,593.5,b
1188,594.0,a
1189,594.5,b
1190,595.0,a
1191,595.5,b
1192,596.0,a
1193,596.5,b
1194,597.0,a
1195,597.5,b
1196,598.0,a
1197,598.5,b
1198,599.0,a
1199,599.5,b
1200,600.0,a
1201,600.5,b
1202,601.0,a
1203,601.5,b
1204,602.0,a
1205,602.5,b
1206,603.0,a
1207,603.5,b
1208,604.0,a
1209,604.5,b
1210,605.0,a
1211,605.5,b
1212,606.0,a
1213,606.5,b
1214,607.0,a
1215,607.5,b
1216,608.0,a
1217,608.5,b
1218,609.0,a
1219,609.5,b
1220,610.0,a
1221,610.5,b
1222,611.0,a
1223,611.5,b
1224,612.0,a
1225,612.5,b
1226,613.0,a
1227,613.5,b
1228,614.0,a
1229,614.5,b
1230,615.0,a
1231,615.5,b
1232,616.0,a
1233,616.5,b
1234,617.0,a
1235,617.5,b
1236,618.0,a
1237,618.5,b
1238,619.0,a
1239,619.5,b
1240,620.0,a
1241,620.5,b
1242,621.0,a
1243,621.5,b
1244,622.0,a
1245,622.5,b
1246,623.0,a
1247,623.5,b
1248,624.0,a
1249,624.5,b
1250,625.0,a
1251,625.5,b
1252,626.0,a
1253,626.5,b
1254,627.0,a
1255,627.5,b
1256,628.0,a
1257,628.5,b
1258,629.0,a
1259,629.5,b
1260,630.0,a
1261,630.5,b
1262,631.0,a
1263,631.5,b
1264,632.0,a
1265,632.5,b
1266,633.0,a
1267,633.5,b
1268,634.0,a
1269,634.5,b
1270,635.0,a
1271,635.5,b
1272,636.0,a
1273,636.5,b
1274,637.0,a
1275,637.5,b
1276,638.0,a
1277,638.5,b
1278,639.0,a
1279,639.5,b
1280,640.0,a
1281,640.5,b
1282,641.0,a
1283,641.5,b
1284,642.0,a
1285,642.5,b
1286,643.0,a
1287,643.5,b
1288,644.0,a
1289,644.5,b
1290,645.0,a
1291,645.5,b
1292,646.0,a
1293,646.5,b
1294,647.0,a
1295,647.5,b
1296,648.0,a
1297,648.5,b
1298,649.0,a
1299,649.5,b
1300,650.0,a
1301,650.5,b
1302,651.0,a
1303,651.5,b
1304,652.0,a
1305,652.5,b
1306,653.0,a
1307,653.5,b
1308,654.0,a
1309,654.5,b
1310,655.0,a
1311,655.5,b
1312,656.0,a
1313,656.5,b
1314,657.0,a
1315,657.5,b
1316,658.0,a
1317,658.5,b
1318,659.0,a
1319,659.5,b
1320,660.0,a
1321,660.5,b
1322,661.0,a
1323,661.5,b
1324,662.0,a
1325,662.5,b
1326,663.0,a
1327,663.5,b
1328,664.0,a
1329,664.5,b
1330,665.0,a
1331,665.5,b
1332,666.0,a
1333,666.5,b
1334,667.0,a
1335,667.5,b
1336,668.0,a
1337,668.5,b
1338,669.0,a
1339,669.5,b
1340,670.0,a
1341,670.5,b
1342,671.0,a
1343,671.5,b
1344,672.0,a
1345,672.5,b
1346,673.0,a
1347,673.5,b
1348,674.0,a
1349,674.5,b
1350,675.0,a
1351,675.5,b
1352,676.0,a
1353,676.5,b
1354,677.0,a
1355,677.5,b
1356,678.0,a
1357,678.5,b
1358,679.0,a
1359,679.5,b
1360,680.0,a
1361,680.5,b
1362,681.0,a
1363,681.5,b
1364,682.0,a
1365,682.5,b
1366,683.0,a
1367,683.5,b
1368,684.0,a
1369,684.5,b
1370,685.0,a
1371,685.5,b
1372,686.0,a
1373,686.5,b
1374,687.0,a
1375,687.5,b
1376,688.0,a
1377,688.5,b
1378,689.0,a
1379,689.5,b
1380,690.0,a
1381,690.5,b
1382,691.0,a
1383,691.5,b
1384,692.0,a
1385,692.5,b
1386,693.0,a
1387,693.5,b
1388,694.0,a
1389,694.5,b
1390,695.0,a
1391,695.5,b
1392,696.0,a
1393,696.5,b
1394,697.0,a
1395,697.5,b
1396,698.0,a
1397,698.5,b
1398,699.0,a
1399,699.5,b
1400,700.0,a
1401,700.5,b
1402,701.0,a
1403,701.5,b
1404,702.0,a
1405,702.5,b
1406,703.0,a
1407,703.5,b
1408,704.0,a
1409,704.5,b
1410,705.0,a
1411,705.5,b
1412,706.0,a
1413,706.5,b
1414,707.0,a
1415,707.5,b
1416,708.0,a
1417,708.5,b
1418,709.0,a
1419,709.5,b
1420,710.0,a
1421,710.5,b
1422,711.0,a
1423,711.5,b
1424,712.0,a
1425,712.5,b
1426,713.0,a
1427,713.5,b
1428,714.0,a
1429,714.5,b
1430,715.0,a
1431,715.5,b
1432,716.0,a
1433,716.5,b
1434,717.0,a
1435,717.5,b
1436,718.0,a
1437,718.5,b
1438,719.0,a
1439,719.5,b
1440,720.0,a
1441,720.5,b
1442,721.0,a
1443,721.5,b
1444,722.0,a
1445,722.5,b
1446,723.0,a
1447,723.5,b
1448,724.0,a
1449,724.5,b
1450,725.0,a
1451,725.5,b
1452,726.0,a
1453,726.5,b
1454,727.0,a
1455,727.5,b
1456,728.0,a
1457,728.5,b
1458,729.0,a
1459,729.5,b
1460,730.0,a
1461,730.5,b
1462,731.0,a
1463,731.5,b
1464,732.0,a
1465,732.5,b
1466,733.0,a
1467,733.5,b
1468,734.0,a
1469,734.5,b
1470,735.0,a
1471,735.5,b
1472,736.0,a
1473,736.5,b
1474,737.0,a
1475,737.5,b
1476,738.0,a
1477,738.5,b
1478,739.0,a
1479,739.5,b
1480,740.0,a
1481,740.5,b
1482,741.0,a
1483,741.5,b
1484,742.0,a
1485,742.5,b
1486,743.0,a
1487,743.5,b
1488,744.0,a
1489,744.5,b
1490,745.0,a
1491,745.5,b
1492,746.0,a
1493,746.5,b
1494,747.0,a
1495,747.5,b
1496,748.0,a
1497,748.5,b
1498,749.0,a
1499,749.5,b
1500,750.0,a
1501,750.5,b
1502,751.0,a
1503,751.5,b
1504,752.0,a
1505,752.5,b
1506,753.0,a
1507,753.5,b
1508,754.0,a
1509,754.5,b
1510,755.0,a
1511,755.5,b
1512,756.0,a
1513,756.5,b
1514,757.0,a
1515,757.5,b
1516,758.0,a
1517,758.5,b
1518,759.0,a
1519,759.5,b
1520,760.0,a
1521,760.5,b
1522,761.0,a
1523,761.5,b
1524,762.0,a
1525,762.5,b
1526,763.0,a
1527,763.5,b
1528,764.0,a
1529,764.5,b
1530,765.0,a
1531,765.5,b
1532,766.0,a
1533,766.5,b
1534,767.0,a
1535,767.5,b
1536,768.0,a
1537,768.5,b
1538,769.0,a
1539,769.5,b
1540,770.0,a
1541,770.5,b
1542,771.0,a
1543,771.5,b
1544,772.0,a
1545,772.5,b
1546,773.0,a
1547,773.5,b
1548,774.0,a
1549,774.5,b
1550,775.0,a
1551,775.5,b
1552,776.0,a
1553,776.5,b
1554,777.0,a
1555,777.5,b
1556,778.0,a
1557,778.5,b
1558,779.0,a
1559,779.5,b
1560,780.0,a
1561,780.5,b
1562,781.0,a
1563,781.5,b
1564,782.0,a
1565,782.5,b
1566,783.0,a
1567,783.5,b
1568,784.0,a
1569,784.5,b
1570,785.0,a
1571,785.5,b
1572,786.0,a
1573,786.5,b
1574,787.0,a
1575,787.5,b
1576,788.0,a
1577,788.5,b
1578,789.0,a
1579,789.5,b
1580,790.0,a
1581,790.5,b
1582,791.0,a
1583,791.5,b
1584,792.0,a
1585,792.5,b
1586,793.0,a
1587,793.5,b
1588,794.0,a
1589,794.5,b
1590,795.0,a
1591,795.5,b
1592,796.0,a
1593,796.5,b
1594,797.0,a
1595,797.5,b
1596,798.0,a
1597,798.5,b
1598,799.0,a
1599,799.5,b
1600,800.0,a
1601,800.5,b
1602,801.0,a
1603,801.5,b
1604,802.0,a
1605,802.5,b
1606,803.0,a
1607,803.5,b
1608,804.0,a
1609,804.5,b
1610,805.0,a
1611,805.5,b
1612,806.0,a
1613,806.5,b
1614,807.0,a
1615,807.5,b
1616,808.0,a
1617,808.5,b
1618,809.0,a
1619,809.5,b
1620,810.0,a
1621,810.5,b
1622,811.0,a
1623,811.5,b
1624,812.0,a
1625,812.5,b
1626,813.0,a
1627,813.5,b
1628,814.0,a
1629,814.5,b
1630,815.0,a
1631,815.5,b
1632,816.0,a
1633,816.5,b
1634,817.0,a
1635,817.5,b
1636,818.0,a
1637,818.5,b
1638,819.0,a
1639,819.5,b
1640,820.0,a
1641,820.5,b
1642,821.0,a
1643,821.5,b
1644,822.0,a
1645,822.5,b
1646,823.0,a
1647,823.5,b
1648,824.0,a
1649,824.5,b
1650,825.0,a
1651,825.5,b
1652,826.0,a
1653,826.5,b
1654,827.0,a
1655,827.5,b
1656,828.0,a
1657,828.5,b
1658,829.0,a
1659,829.5,b
1660,830.0,a
1661,830.5,b
1662,831.0,a
1663,831.5,b
1664,832.0,a
