date,region,category,price,units,revenue
2024-02-22,North,B,35.67,45,1751.96
2024-03-23,South,A,27.09,14,414.81
2024-04-24,East,C,38.22,4,155.45
2024-05-25,West,A,96.47,6,619.49
2024-06-26,East,C,16.12,16,252.96
2024-07-27,West,C,63.51,40,2328.01
2024-08-28,North,B,28.38,46,1256.96
2024-09-01,North,B,21.78,42,878.17
2024-10-02,North,A,10.84,40,476.83
2024-11-03,East,A,58.39,33,1836.38
2024-12-04,North,A,89.13,24,2047.13
2024-01-05,South,C,73.32,40,3216.61
2024-02-06,East,C,83.54,20,1815.08
2024-03-07,East,A,33.8,7,248.07
2024-04-08,West,B,35.36,14,516.59
2024-05-09,West,C,67.08,17,1141.59
2024-06-10,North,A,18.31,28,546.45
2024-07-11,East,A,40.02,9,370.06
2024-08-12,North,A,76.71,36,2875.15
2024-09-13,East,A,16.77,45,815.61
2024-10-14,East,B,62.43,10,615.53
2024-11-15,East,B,42.82,3,138.71
2024-12-16,West,C,32.46,7,220.57
2024-01-17,South,C,77.45,16,1329.56
2024-02-18,West,B,12.23,48,636.88
2024-03-19,South,C,87.77,16,1338.82
2024-04-20,East,B,88.5,31,2591.2
2024-05-21,South,B,37.47,15,530.9
2024-06-22,West,B,39.54,5,216.16
2024-07-23,North,B,67.73,26,1824.21
2024-08-24,North,A,20.38,17,324.19
2024-09-25,North,A,19.76,28,536.2
2024-10-26,North,B,64.56,33,1966.71
2024-11-27,West,B,13.99,28,352.68
2024-12-28,West,B,48.82,43,2275.92
2024-01-01,North,C,86.32,47,4381.64
2024-02-02,North,C,46.76,26,1263.71
2024-03-03,West,A,47.84,25,1238.41
2024-04-04,West,C,61.22,26,1606.98
2024-05-05,East,B,35.82,28,1060.28
2024-06-06,North,B,49.76,44,2064.07
2024-07-07,South,C,25.27,6,145.06
2024-08-08,North,A,83.66,49,3881.97
2024-09-09,North,A,82.59,10,747.34
2024-10-10,West,B,65.01,50,2972.8
2024-11-11,South,C,61.81,46,2954.92
2024-12-12,South,B,31.96,42,1392.69
2024-01-13,East,B,29.7,45,1341.3
2024-02-14,East,C,32.43,8,257.18
2024-03-15,South,C,57.8,36,2120.52
2024-04-16,South,C,83.35,33,2710.25
2024-05-17,South,A,76.93,31,2361.01
2024-06-18,West,C,34.96,50,1755.45
2024-07-19,West,B,49.59,46,2183.38
2024-08-20,North,B,38.77,35,1243.12
2024-09-21,West,A,44.47,10,463.06
2024-10-22,East,B,46.68,35,1622.67
2024-11-23,East,A,84.96,25,2295.98
2024-12-24,East,C,44.23,1,48.15
2024-01-25,North,B,86.81,27,2361.79
2024-02-26,West,B,29.75,28,830.61
2024-03-27,South,B,70.2,26,1907.04
2024-04-28,South,A,98.26,35,3113.74
2024-05-01,South,C,60.8,2,111.48
2024-06-02,South,A,88.02,12,961.24
2024-07-03,South,B,29.05,21,590.22
2024-08-04,South,B,77.68,27,1993.44
2024-09-05,East,B,11.74,35,374.09
2024-10-06,North,A,68.51,50,3738.79
2024-11-07,East,A,95.47,13,1325.31
2024-12-08,West,A,21.36,43,847.64
2024-01-09,West,B,72.95,50,3551.86
2024-02-10,East,A,96.82,7,688.41
2024-03-11,North,C,70.96,25,1737.33
2024-04-12,West,A,63.29,41,2461.43
2024-05-13,North,C,64.04,8,542.67
2024-06-14,East,B,57.95,43,2427.35
2024-07-15,North,A,86.46,32,2548.45
2024-08-16,North,C,90.24,30,2819.45
2024-09-17,South,A,76.04,42,3046.82
2024-10-18,South,B,49.2,47,2355.17
2024-11-19,North,A,84.77,6,486.13
2024-12-20,South,A,77.54,37,2932.29
2024-01-21,South,B,12.58,21,247.37
2024-02-22,West,B,81.8,22,1720.29
2024-03-23,North,C,10.91,13,130.08
2024-04-24,South,B,59.97,16,996.1
2024-05-25,South,B,81.36,6,468.07
2024-06-26,South,C,31.9,43,1394.07
2024-07-27,South,C,57.78,28,1778.53
2024-08-28,North,B,73.26,18,1267.68
2024-09-01,West,A,74.92,21,1453.61
2024-10-02,West,A,29.47,31,872.73
2024-11-03,North,A,84.94,19,1525.9
2024-12-04,West,B,11.27,35,364.99
2024-01-05,East,A,59.8,45,2930.01
2024-02-06,South,A,88.54,37,3134.68
2024-03-07,South,B,40.66,4,154.59
2024-04-08,South,A,83.99,26,2180.14
2024-05-09,East,A,23.43,37,944.78
2024-06-10,East,A,20.66,49,995.37
2024-07-11,West,C,44.23,29,1230.68
2024-08-12,South,B,61.18,4,250.09
2024-09-13,East,A,66.3,17,1163.26
2024-10-14,West,A,25.64,5,119.39
2024-11-15,South,B,72.04,31,2140.01
2024-12-16,West,B,73.63,45,3551.65
2024-01-17,East,C,31.01,17,557.52
2024-02-18,West,B,20.33,15,313.95
2024-03-19,North,A,16.43,11,191.31
2024-04-20,North,B,21.19,45,916.19
2024-05-21,South,B,55.04,32,1739.36
2024-06-22,East,B,76.11,39,2820.09
2024-07-23,East,A,96.57,37,3635.35
2024-08-24,East,C,83.93,37,2819.86
2024-09-25,West,B,56.71,29,1781.44
2024-10-26,West,C,49.23,32,1723.15
2024-11-27,South,B,46.75,21,1015.16
2024-12-28,West,B,47.05,32,1441.83
2024-01-01,South,C,13.3,6,76.84
2024-02-02,North,A,97.32,26,2714.99
2024-03-03,East,C,88.24,30,2601.27
2024-04-04,West,C,42.56,49,2084.81
2024-05-05,South,A,28.32,36,944.28
2024-06-06,North,B,89.28,32,2640.65
2024-07-07,West,C,24.25,36,788.09
2024-08-08,South,A,30.22,8,239.9
2024-09-09,East,C,84.89,32,2951.54
2024-10-10,North,C,73.49,27,2117.06
2024-11-11,South,A,51.11,10,499.2
2024-12-12,West,A,34.86,27,911.08
2024-01-13,North,A,35.46,20,757.07
2024-02-14,South,A,50.19,31,1507.7
2024-03-15,South,B,93.96,13,1338.93
2024-04-16,West,C,44.47,50,2183.82
2024-05-17,North,C,52.57,25,1284.31
2024-06-18,West,B,96.83,9,871.87
2024-07-19,North,A,88.68,29,2365.83
2024-08-20,South,A,75.02,27,2175.81
2024-09-21,West,A,52.25,17,859.57
2024-10-22,South,C,17.23,22,405.77
2024-11-23,South,B,66.41,49,3246.25
2024-12-24,East,C,16.16,41,687.0
2024-01-25,North,A,77.21,28,2368.7
2024-02-26,East,B,24.97,20,539.69
2024-03-27,East,B,81.65,19,1507.44
2024-04-28,South,A,31.98,27,874.85
2024-05-01,West,A,25.76,40,1106.82
2024-06-02,West,B,92.15,10,872.14
2024-07-03,North,B,32.98,1,35.61
2024-08-04,South,B,70.98,11,714.24
2024-09-05,North,C,36.92,28,1073.11
2024-10-06,South,B,27.93,25,747.59
2024-11-07,East,A,44.32,23,1034.61
2024-12-08,North,A,98.02,43,4127.03
2024-01-09,East,C,87.86,50,4607.97
2024-02-10,East,C,77.07,19,1545.09
2024-03-11,West,C,82.17,15,1266.23
2024-04-12,North,C,78.0,50,4024.16
2024-05-13,West,C,18.74,41,790.83
2024-06-14,North,B,13.0,24,326.5
2024-07-15,East,B,39.4,27,994.79
2024-08-16,West,C,88.88,24,2146.28
2024-09-17,North,A,33.13,31,1123.03
2024-10-18,North,C,88.34,8,702.24
2024-11-19,East,A,77.87,15,1252.18
2024-12-20,South,C,42.92,26,1007.43
2024-01-21,East,B,43.17,48,2143.58
2024-02-22,South,C,94.63,7,685.57
2024-03-23,South,A,65.76,36,2285.93
2024-04-24,West,C,15.69,30,509.24
2024-05-25,North,C,46.75,9,382.49
2024-06-26,East,B,99.63,8,732.83
2024-07-27,West,B,50.83,43,2382.13
2024-08-28,South,C,76.8,10,827.2
2024-09-01,East,B,65.41,18,1067.35
2024-10-02,North,A,49.9,16,855.16
2024-11-03,East,C,43.06,42,1757.4
2024-12-04,South,B,27.08,8,236.09
2024-01-05,South,A,69.65,42,3006.91
2024-02-06,East,A,80.81,16,1419.37
2024-03-07,West,A,84.68,36,2869.94
2024-04-08,West,A,39.57,10,418.54
2024-05-09,East,B,87.26,10,957.68
2024-06-10,North,A,19.89,2,36.85
2024-07-11,North,A,63.0,2,117.79
2024-08-12,East,A,76.75,34,2407.86
2024-09-13,East,B,50.34,24,1211.36
2024-10-14,East,B,55.35,40,2011.8
2024-11-15,North,B,67.9,2,123.87
2024-12-16,South,B,48.36,7,337.86
2024-01-17,South,A,90.93,21,1950.89
2024-02-18,East,A,34.75,41,1449.07
2024-03-19,North,B,99.52,34,3244.88
2024-04-20,South,A,81.38,8,696.98
2024-05-21,West,B,50.64,15,746.51
2024-06-22,South,B,47.44,7,319.63
2024-07-23,North,C,32.94,10,341.71
2024-08-24,South,A,18.21,6,100.37
2024-09-25,East,C,76.49,9,696.17
2024-10-26,North,C,21.0,23,519.09
2024-11-27,South,C,14.63,19,283.55
2024-12-28,North,A,62.01,14,808.19
2024-01-01,South,A,86.25,23,2120.78
2024-02-02,North,A,78.63,37,2749.97
2024-03-03,South,C,97.71,40,3997.18
2024-04-04,East,C,93.62,45,4016.96
2024-05-05,West,B,73.24,20,1588.29
2024-06-06,North,A,26.33,10,266.79
2024-07-07,South,A,22.77,41,1021.66
2024-08-08,East,C,57.74,25,1420.36
2024-09-09,North,A,43.3,47,1963.62
2024-10-10,East,A,24.0,49,1203.72
2024-11-11,East,B,49.88,28,1392.63
2024-12-12,South,B,34.59,49,1699.1
2024-01-13,North,B,19.98,44,910.5
2024-02-14,South,C,70.04,3,198.38
2024-03-15,East,A,28.4,14,418.86
2024-04-16,North,B,39.53,1,39.51
2024-05-17,South,A,21.63,35,787.89
2024-06-18,North,A,45.74,48,1994.54
2024-07-19,East,B,92.9,21,1980.46
2024-08-20,South,C,67.61,19,1185.72
2024-09-21,East,B,25.47,40,1010.67
2024-10-22,North,A,49.3,7,327.38
2024-11-23,South,C,17.08,20,358.39
2024-12-24,West,B,80.12,5,401.44
2024-01-25,East,C,55.9,50,2710.8
2024-02-26,West,A,19.25,17,307.44
2024-03-27,West,C,16.78,50,860.47
2024-04-28,South,C,78.39,29,2355.66
2024-05-01,North,C,38.45,29,1018.77
2024-06-02,South,C,37.25,18,682.76
2024-07-03,North,C,16.68,30,495.59
2024-08-04,East,B,84.85,5,436.52
2024-09-05,East,C,63.47,25,1574.92
2024-10-06,East,B,91.81,37,3500.13
2024-11-07,North,C,52.81,10,576.44
2024-12-08,South,A,82.99,22,2001.93
2024-01-09,East,C,68.15,3,194.14
2024-02-10,South,B,57.17,40,2130.72
2024-03-11,North,B,44.87,50,2170.98
2024-04-12,East,C,68.26,5,329.67
2024-05-13,South,B,32.68,43,1535.76
2024-06-14,West,B,17.34,43,692.15
2024-07-15,North,B,97.09,45,4510.73
2024-08-16,West,C,73.8,6,425.94
2024-09-17,South,C,81.25,9,756.13
2024-10-18,East,C,70.34,33,2257.07
2024-11-19,North,B,26.22,14,355.46
2024-12-20,South,A,30.39,9,254.63
2024-01-21,North,A,55.69,35,2079.79
2024-02-22,East,C,40.31,50,2063.08
2024-03-23,South,A,24.6,45,1167.02
2024-04-24,West,C,49.39,27,1297.34
2024-05-25,West,B,64.95,49,3340.75
2024-06-26,South,A,58.06,20,1269.33
2024-07-27,South,A,43.11,37,1749.61
2024-08-28,South,B,80.03,33,2655.49
2024-09-01,West,A,82.11,9,794.12
2024-10-02,East,C,53.25,24,1291.94
2024-11-03,East,C,86.13,8,659.42
2024-12-04,West,B,50.44,33,1547.12
2024-01-05,South,A,95.18,15,1518.13
2024-02-06,North,A,47.34,26,1231.33
2024-03-07,West,B,99.51,24,2256.67
2024-04-08,North,A,85.53,42,3473.92
2024-05-09,West,A,13.45,31,433.3
2024-06-10,West,C,52.22,40,1882.11
2024-07-11,East,A,33.03,10,333.52
2024-08-12,South,A,79.86,16,1226.94
2024-09-13,East,A,47.78,40,1894.81
2024-10-14,East,B,63.71,2,130.78
2024-11-15,West,C,22.92,28,577.78
2024-12-16,North,A,61.36,12,760.53
2024-01-17,East,C,97.72,5,532.91
2024-02-18,East,B,88.6,3,273.01
2024-03-19,North,B,77.26,23,1879.52
2024-04-20,North,A,75.96,41,2867.49
2024-05-21,North,A,13.99,35,473.84
2024-06-22,West,C,51.82,45,2321.89
2024-07-23,West,A,15.68,50,853.56
2024-08-24,East,B,28.14,13,394.05
2024-09-25,North,B,56.38,35,1962.8
2024-10-26,East,C,27.2,23,670.91
2024-11-27,East,C,39.87,8,338.06
2024-12-28,South,B,76.9,25,1860.61
2024-01-01,West,B,72.29,24,1882.19
2024-02-02,North,A,75.44,6,446.36
2024-03-03,West,C,36.44,7,233.66
2024-04-04,North,B,50.13,46,2271.91
2024-05-05,South,B,50.24,47,2536.03
2024-06-06,North,C,99.83,18,1847.06
2024-07-07,East,A,70.41,26,1780.61
2024-08-08,West,A,22.85,39,922.89
2024-09-09,South,A,21.36,16,360.8
2024-10-10,North,B,44.46,37,1491.17
2024-11-11,West,C,50.49,24,1180.74
2024-12-12,East,C,22.39,24,526.4
2024-01-13,North,A,96.45,2,201.99
2024-02-14,South,C,44.83,36,1490.5
2024-03-15,North,C,50.16,40,1920.36
2024-04-16,South,A,21.04,5,104.19
2024-05-17,South,A,82.95,21,1800.42
2024-06-18,East,C,58.8,20,1258.64
2024-07-19,West,B,55.79,8,489.62
2024-08-20,West,A,81.13,2,157.75
2024-09-21,North,B,82.33,36,2744.42
2024-10-22,East,A,37.84,46,1816.83
2024-11-23,South,B,84.1,5,388.99
2024-12-24,North,C,16.67,30,518.11
2024-01-25,North,A,89.02,50,4496.67
2024-02-26,West,A,48.94,4,208.73
2024-03-27,West,B,24.82,21,566.54
2024-04-28,West,B,95.27,34,3495.03
2024-05-01,East,B,27.67,36,951.19
2024-06-02,North,C,58.01,33,1968.31
2024-07-03,West,A,69.29,47,3518.46
2024-08-04,North,C,13.71,2,25.12
2024-09-05,North,C,28.97,37,1054.01
2024-10-06,East,B,90.01,35,3017.83
2024-11-07,North,B,32.04,44,1383.28
2024-12-08,South,A,71.98,11,782.22
2024-01-09,South,B,28.36,39,1027.22
2024-02-10,North,C,98.92,23,2491.47
2024-03-11,West,B,56.35,7,380.18
2024-04-12,South,A,34.07,16,505.97
2024-05-13,East,B,95.08,40,3740.93
2024-06-14,West,B,94.04,47,4254.32
2024-07-15,West,B,99.64,30,2988.46
2024-08-16,North,B,12.09,26,314.68
2024-09-17,West,A,62.5,4,227.53
2024-10-18,South,C,89.41,42,3884.79
2024-11-19,North,C,10.74,7,74.14
2024-12-20,North,C,42.92,26,1086.0
2024-01-21,South,A,61.33,13,775.37
2024-02-22,North,A,44.77,29,1366.99
2024-03-23,North,C,71.24,8,527.59
2024-04-24,East,B,43.59,22,970.07
2024-05-25,North,A,27.92,33,903.19
2024-06-26,East,A,13.5,46,600.26
2024-07-27,South,C,51.13,39,2150.86
2024-08-28,West,B,93.82,21,1837.23
2024-09-01,North,C,40.27,33,1337.51
2024-10-02,North,B,83.42,24,1934.51
2024-11-03,East,B,62.53,47,3157.62
2024-12-04,East,C,52.71,42,2339.08
2024-01-05,West,C,14.62,31,423.35
2024-02-06,South,A,83.95,16,1217.36
2024-03-07,East,A,11.7,21,241.71
2024-04-08,South,C,28.35,33,987.0
2024-05-09,South,C,75.47,46,3220.33
2024-06-10,West,C,39.25,43,1680.45
2024-07-11,South,B,96.1,30,3120.63
2024-08-12,North,C,41.89,50,2248.51
2024-09-13,North,C,53.58,16,819.39
2024-10-14,North,A,94.73,20,1997.35
2024-11-15,West,C,73.45,21,1536.22
2024-12-16,North,B,20.97,44,930.65
2024-01-17,South,B,95.91,10,918.9
2024-02-18,North,C,17.11,29,511.67
2024-03-19,South,A,28.19,35,941.49
2024-04-20,North,A,19.83,48,968.37
2024-05-21,West,A,70.29,34,2258.74
2024-06-22,West,A,19.02,22,436.63
2024-07-23,East,C,79.37,1,86.74
2024-08-24,West,B,68.76,31,2121.95
2024-09-25,West,B,38.91,42,1490.13
2024-10-26,East,C,61.67,35,2261.49
2024-11-27,East,A,47.61,12,620.9
2024-12-28,East,B,80.92,12,1055.83
2024-01-01,North,A,10.83,37,408.95
2024-02-02,North,B,50.89,42,2155.89
2024-03-03,South,A,86.6,30,2479.97
2024-04-04,East,B,24.62,30,760.5
2024-05-05,West,A,76.3,19,1469.35
2024-06-06,West,A,64.99,41,2876.18
2024-07-07,South,C,39.51,26,1062.03
2024-08-08,West,A,52.97,16,763.93
2024-09-09,South,A,50.21,18,985.85
2024-10-10,North,C,75.06,1,71.48
2024-11-11,North,C,31.27,43,1241.94
2024-12-12,North,A,46.49,33,1663.99
2024-01-13,North,C,20.57,19,380.48
2024-02-14,West,A,96.16,31,2774.19
2024-03-15,North,B,73.17,31,2385.02
2024-04-16,West,A,71.23,39,2985.28
2024-05-17,East,C,50.21,46,2245.81
2024-06-18,East,A,84.59,33,2625.19
2024-07-19,West,A,39.53,34,1328.39
2024-08-20,West,C,62.48,6,404.79
2024-09-21,South,A,50.81,33,1648.37
2024-10-22,East,C,51.61,20,1078.29
2024-11-23,South,B,83.48,48,3780.96
2024-12-24,East,A,48.13,45,1976.88
2024-01-25,East,A,98.75,31,2774.55
2024-02-26,South,A,79.21,50,4072.6
2024-03-27,South,B,99.36,25,2458.43
2024-04-28,South,B,17.22,43,795.93
2024-05-01,West,C,87.43,8,654.46
2024-06-02,South,C,21.46,15,343.46
2024-07-03,East,B,51.67,47,2450.08
2024-08-04,South,A,32.28,23,691.23
2024-09-05,West,C,78.89,3,251.32
2024-10-06,South,C,78.94,2,149.69
2024-11-07,East,A,63.45,29,1876.04
2024-12-08,East,A,76.65,26,1968.57
2024-01-09,West,A,22.61,19,406.75
2024-02-10,North,C,63.81,44,2986.42
2024-03-11,West,B,88.86,43,3837.22
2024-04-12,South,B,34.76,36,1363.61
2024-05-13,West,C,71.09,36,2557.0
2024-06-14,North,C,70.42,34,2307.48
2024-07-15,South,B,23.43,25,548.72
2024-08-16,South,A,86.44,20,1852.42
2024-09-17,West,B,92.33,36,3265.83
2024-10-18,South,C,57.7,25,1368.31
2024-11-19,West,B,68.2,29,2115.11
2024-12-20,East,C,75.21,13,890.03
2024-01-21,South,C,64.45,3,207.8
2024-02-22,West,C,75.19,36,2553.64
2024-03-23,West,B,37.29,1,35.14
2024-04-24,West,C,20.56,49,1003.19
2024-05-25,West,C,64.4,14,882.96
2024-06-26,West,C,38.95,19,722.39
2024-07-27,North,B,33.54,33,1191.56
2024-08-28,South,A,82.25,47,3842.16
2024-09-01,North,A,43.36,27,1064.35
2024-10-02,West,C,23.13,17,397.4
2024-11-03,South,B,23.72,22,493.66
2024-12-04,West,B,59.56,44,2535.5
2024-01-05,South,C,67.75,32,2151.02
2024-02-06,North,A,22.6,35,789.15
2024-03-07,East,C,13.04,5,71.01
2024-04-08,East,A,47.12,41,1828.15
2024-05-09,West,A,29.68,30,867.82
2024-06-10,South,C,53.91,1,54.26
2024-07-11,South,A,11.51,47,516.6
2024-08-12,North,A,55.2,45,2570.46
2024-09-13,West,A,92.62,34,2927.95
2024-10-14,West,C,57.38,23,1258.33
2024-11-15,South,A,43.57,26,1123.53
2024-12-16,West,C,30.33,44,1422.08
2024-01-17,East,C,99.25,42,4384.92
2024-02-18,East,B,44.13,36,1581.06
2024-03-19,East,C,25.42,32,869.62
2024-04-20,North,C,97.96,7,739.86
2024-05-21,East,A,29.03,45,1407.61
2024-06-22,South,B,14.19,5,73.57
2024-07-23,North,C,60.72,3,170.48
2024-08-24,North,A,96.53,38,3407.11
