pclass,sex,age,fare,survived
3,male,45,10.81,0
2,male,52,46.41,1
3,female,9,195.35,0
2,female,48,43.83,1
2,male,,74.31,0
2,female,1,194.07,1
1,male,61,101.4,0
2,male,5,158.3,0
1,female,55,62.22,1
2,male,49,199.86,0
2,male,47,19.65,0
2,female,,196.34,1
3,male,68,122.57,0
2,male,34,154.76,0
1,male,75,161.07,1
2,female,71,152.19,1
3,female,39,24.58,1
1,female,54,23.13,1
3,male,13,190.05,0
1,female,,162.85,1
1,female,72,179.53,1
2,male,73,141.64,1
1,female,17,38.03,0
2,male,35,117.45,0
1,female,8,88.8,1
2,male,38,72.13,0
3,female,37,57.53,1
1,female,78,102.05,1
1,female,74,40.95,1
1,male,6,50.02,1
1,male,18,193.22,1
1,male,15,166.84,1
1,female,19,33.66,1
1,female,53,78.85,1
2,female,19,45.32,1
3,male,36,90.3,0
2,female,8,150.92,1
1,female,37,32.44,1
2,male,68,17.73,0
2,male,36,168.7,0
2,male,57,181.44,1
1,female,71,104.39,1
3,female,13,58.0,1
2,female,,115.6,0
2,female,72,171.89,1
3,male,68,5.66,0
2,female,1,98.8,1
3,female,55,53.98,0
3,female,78,115.22,1
2,female,32,68.32,0
1,female,56,191.71,1
1,male,18,50.1,0
2,male,71,91.05,1
3,male,13,12.14,1
3,female,36,130.39,0
1,female,79,28.16,0
3,male,,139.35,0
3,male,63,164.33,0
2,female,65,118.66,0
2,female,58,113.48,1
3,male,74,9.17,0
1,male,6,147.83,1
1,male,59,16.95,1
3,male,,146.52,0
2,female,56,35.02,1
1,female,22,78.03,1
3,female,21,46.3,1
1,female,22,56.9,1
3,female,21,166.61,1
3,male,55,38.57,0
2,female,78,46.76,0
1,male,49,155.65,1
1,male,17,180.66,1
3,male,51,182.32,0
3,male,24,110.11,0
1,male,66,172.37,1
1,male,11,71.13,1
2,female,18,166.48,1
2,male,29,141.26,1
1,female,70,20.63,1
3,female,44,10.84,0
3,male,4,21.31,1
3,male,25,98.75,0
2,female,78,10.04,1
2,female,15,159.96,1
2,female,11,111.43,1
3,female,67,182.5,1
1,female,6,66.25,1
3,female,6,121.85,1
2,male,44,22.29,0
2,male,73,28.97,0
2,male,48,133.96,0
1,female,71,144.29,1
1,female,53,122.41,1
2,female,3,155.61,0
3,male,8,57.22,1
1,female,68,29.23,1
3,male,34,192.62,0
3,female,32,105.55,1
1,male,32,35.2,1
3,female,38,146.57,1
3,female,21,9.04,0
1,female,68,89.02,1
2,male,6,165.3,0
3,female,48,152.74,1
2,male,48,71.29,0
2,male,3,135.39,0
2,female,38,105.03,0
1,male,48,52.08,0
2,female,18,95.81,1
3,female,,138.93,1
2,male,28,45.74,0
2,male,33,119.49,0
1,female,19,162.16,1
3,female,16,111.15,1
1,male,26,101.05,1
3,female,6,177.06,0
1,female,42,198.33,1
3,female,68,178.91,1
1,male,4,119.29,1
2,male,77,107.15,1
3,female,64,56.46,1
3,male,54,183.75,0
3,male,79,159.46,1
1,male,10,162.66,0
3,female,38,49.04,1
2,female,76,32.16,1
3,male,78,122.38,1
1,female,44,86.56,1
1,female,69,84.41,0
2,male,51,88.59,0
3,male,13,27.72,1
1,male,8,106.45,1
2,female,12,164.54,0
3,female,28,24.49,1
1,female,46,15.15,1
3,male,14,99.65,0
2,male,68,167.12,0
1,male,71,5.97,1
2,male,31,97.99,0
3,male,28,50.58,0
3,male,48,93.05,0
3,male,73,118.26,1
2,female,3,144.36,1
2,male,77,142.7,0
3,female,74,162.57,0
3,female,67,62.63,1
2,female,73,53.4,1
1,female,,102.59,1
3,male,25,26.13,0
1,female,56,83.82,1
1,female,3,198.05,1
2,male,54,194.61,1
2,male,40,114.52,0
1,male,78,182.03,0
3,male,72,152.62,0
2,male,53,178.02,1
1,female,71,161.89,1
2,male,35,23.23,0
3,female,10,185.07,1
3,female,13,136.04,1
1,male,41,116.44,0
2,male,52,110.59,0
2,female,6,171.65,1
1,male,,171.18,1
2,female,8,27.77,0
1,male,25,163.79,1
1,male,49,107.92,0
2,male,42,15.59,0
1,male,57,130.2,1
2,male,35,8.28,0
2,female,8,144.29,1
1,female,53,135.92,1
2,male,12,150.44,0
3,female,7,196.49,1
3,male,34,9.43,0
3,female,25,43.7,1
1,male,41,74.79,0
2,male,11,95.53,0
1,male,21,5.09,1
2,male,41,30.81,0
3,female,25,47.56,1
3,female,76,14.59,0
2,male,51,62.33,1
1,female,7,51.12,1
2,male,69,26.12,1
2,female,22,183.46,1
1,male,76,109.57,1
3,male,54,38.47,0
3,female,78,90.4,0
1,male,66,39.56,0
1,female,58,192.15,1
3,female,16,93.45,0
2,male,67,157.08,1
1,female,49,110.42,1
1,male,45,68.94,1
2,female,,70.33,0
3,female,20,147.84,1
1,male,18,68.84,1
2,male,69,155.65,0
2,female,3,190.85,1
1,female,78,139.9,1
3,female,77,144.77,1
2,male,78,70.86,0
3,male,37,72.62,0
3,female,5,140.58,1
2,male,70,83.32,0
1,male,,125.04,1
1,male,60,101.51,1
2,male,74,183.49,0
3,male,17,67.42,0
2,male,69,67.06,0
2,male,31,76.89,0
1,female,50,79.28,1
3,female,4,136.24,1
3,male,44,171.23,0
1,female,51,43.24,1
3,female,32,128.62,1
3,female,29,173.93,1
3,male,22,55.84,0
2,male,44,145.87,0
1,female,74,38.51,1
3,male,78,157.43,0
1,male,51,77.0,1
3,female,50,190.17,1
1,female,37,165.85,1
1,female,16,176.16,1
1,female,22,14.14,1
3,female,35,159.72,1
2,male,12,68.42,0
2,female,28,147.14,1
1,female,68,23.99,1
2,male,,126.05,0
1,male,12,11.86,1
2,female,16,140.74,1
3,male,17,152.76,1
2,male,66,107.72,0
2,female,18,187.36,1
2,female,42,173.49,1
2,female,36,63.24,1
2,female,36,110.56,1
3,female,41,158.58,0
3,male,79,182.54,0
3,female,4,31.54,0
1,male,48,129.64,1
1,male,17,130.32,0
1,female,9,45.63,1
2,male,55,113.33,1
1,female,67,107.33,1
3,female,29,87.5,0
3,female,20,150.65,1
3,male,37,45.78,0
3,male,23,142.98,0
1,male,9,29.63,0
3,male,80,23.06,0
1,male,54,56.17,1
3,female,69,37.19,1
3,male,23,158.45,0
2,female,47,114.6,1
1,female,74,188.72,1
3,male,59,79.57,0
1,male,71,174.46,0
3,female,59,139.06,1
3,male,75,193.49,0
1,female,20,117.45,1
3,male,22,191.29,0
2,male,31,112.86,1
1,female,32,158.92,1
2,female,16,100.38,1
3,female,51,61.52,0
2,female,64,124.19,1
2,female,,116.35,1
1,male,77,96.36,1
2,male,42,31.96,0
3,male,4,163.4,0
1,male,51,147.19,1
1,male,,13.67,0
3,female,65,173.41,1
3,male,48,135.13,0
1,female,6,44.39,1
2,male,11,163.86,0
3,female,9,72.64,0
3,male,,34.1,0
3,female,12,64.04,1
3,male,26,182.77,0
2,male,76,102.47,0
1,male,20,147.69,1
1,male,59,84.97,1
1,male,49,83.53,1
1,male,5,92.07,0
3,female,26,185.47,0
2,male,44,45.64,1
1,female,39,156.45,1
2,male,37,9.43,0
2,male,2,117.4,0
1,male,49,30.12,0
3,female,45,145.71,1
3,male,28,144.56,0
2,male,75,101.83,1
1,male,16,32.67,1
2,female,50,64.85,0
1,female,20,10.0,0
2,male,72,101.5,1
3,male,11,89.09,0
1,female,17,172.7,1
1,female,21,166.41,1
3,male,37,11.31,1
1,female,52,191.53,1
3,female,40,126.47,1
3,female,55,169.48,0
1,male,33,95.04,1
1,male,66,28.91,1
3,female,13,92.62,1
1,female,67,13.31,1
1,female,19,120.59,1
2,male,26,104.13,0
1,male,30,69.77,0
2,female,36,100.95,1
2,male,26,9.83,0
1,female,68,136.89,1
3,female,64,10.79,1
1,female,26,123.36,1
2,female,51,90.18,1
2,male,18,141.4,0
1,male,52,85.89,1
2,male,15,14.86,0
3,female,33,12.28,0
1,male,73,152.67,0
2,male,9,66.75,1
2,male,39,131.08,0
2,female,68,197.99,1
3,male,76,90.61,1
2,female,38,24.9,0
1,male,7,99.58,1
1,male,42,90.19,1
3,female,15,199.16,1
1,male,34,37.2,1
3,male,,96.12,0
3,male,53,15.71,1
3,male,34,23.54,0
3,male,79,116.45,0
3,female,15,21.28,1
1,female,66,10.95,1
3,female,39,109.35,1
1,female,46,106.78,1
2,female,2,110.12,1
1,female,54,97.49,1
1,male,49,114.87,1
2,male,11,187.16,0
2,female,77,135.73,1
3,male,51,117.83,0
2,male,76,74.16,0
2,male,55,26.94,0
2,male,37,136.47,0
3,male,49,74.04,0
2,female,6,177.53,0
2,female,32,145.47,0
2,female,20,17.63,1
3,female,19,36.16,0
1,female,70,29.39,1
3,male,52,108.88,0
3,male,18,197.08,0
1,female,9,87.86,1
1,male,28,199.75,1
3,male,77,129.82,1
1,female,28,97.65,1
1,female,32,13.54,1
3,male,3,182.45,0
2,female,34,29.29,1
2,male,38,58.35,0
2,female,61,152.34,1
3,male,17,141.54,0
3,male,1,173.93,0
3,male,11,91.36,0
1,male,80,41.02,1
2,female,79,134.32,1
1,female,71,90.87,1
2,male,76,55.94,0
3,male,79,31.28,0
1,male,62,198.96,1
2,male,10,97.52,0
3,male,77,109.87,0
2,male,32,85.1,0
1,male,34,68.89,1
2,female,,9.83,1
3,female,39,108.42,1
1,male,49,199.73,0
3,female,53,14.75,0
1,female,47,100.56,1
3,male,40,154.76,0
1,male,32,172.12,1
2,female,24,155.23,1
2,male,43,122.71,0
1,male,55,36.25,1
1,male,58,88.5,0
2,female,41,124.59,1
1,male,13,23.0,0
2,female,1,153.3,1
2,female,64,198.37,1
1,male,46,91.6,1
2,female,53,159.54,0
2,male,15,184.31,1
3,female,62,71.72,1
3,female,69,14.38,1
3,male,34,189.86,1
1,male,30,103.18,0
2,male,,189.19,0
3,female,60,71.02,1
1,male,25,35.06,0
3,female,80,148.02,0
2,male,38,130.79,0
1,female,25,174.18,1
2,male,61,73.96,1
3,male,9,123.31,0
1,male,25,11.47,0
1,female,65,166.8,1
1,female,40,7.3,0
3,male,51,90.91,0
3,male,45,197.84,0
2,female,55,15.43,1
3,female,61,122.54,1
3,male,,138.82,0
3,female,77,29.05,1
3,female,50,161.76,1
2,male,77,16.88,0
2,female,18,168.31,1
2,male,30,12.1,1
3,female,23,57.22,0
3,male,21,106.69,0
1,male,71,102.49,1
1,male,67,174.05,0
3,male,16,13.73,1
